type,id,name,username,authors,upvotes,downvotes,favorites
bhr,1,Black Hat Rider,Foundations,"[""Foundations""]",11,3,13
bhr,129,53 Azalea Street,Vapaa,"[""Vapaa""]",5,0,0
bhr,685,Organic,EasternBiker,"[""gismo63"",""EasternBiker""]",49,8,55
bhr,795,Parallel,Foundations,"[""Foundations""]",17,0,14
bhr,937,Poe Man's Dream (His Vice),WheelieMaker,"[""WM""]",16,2,10
bhr,992,Grav  Bounce,Joel,"[""Joel""]",1,0,1
bhr,1821,Monkie Park,Dirt Monkie,"[""Dirt Monkie""]",33,3,35
bhr,1872,Oblivion,Hashplant,"[""Hashplant"",""Foundations""]",19,0,13
bhr,2406,Ruins of Arutad [Vapaa Remix],Vapaa,"[""Vapaa""]",10,0,11
bhr,2573,The Vapaa Factory,Vapaa,"[""Vapaa""]",7,0,3
bhr,2574,The B3Vapaa Factory,Vapaa,"[""Vapaa"",""Joel""]",12,0,12
bhr,3657,A Lil' Bit O' Country,nasrani,"[""nasrani""]",22,0,21
bhr,3982,WJP Legion 2013,stig,"[""stig""]",31,6,28
bhr,4033,Frigid Mountains,010David010,"[""010David010""]",14,0,12
bhr,4554,Dried up Dock,nasrani,"[""nasrani""]",26,5,16
bhr,4685,Scantonia,Cataclysm,"[""Cataclysm""]",7,0,1
bhr,4711,Generation 2093,Ness,"[""Tremulant"",""Ness""]",49,5,40
bhr,5159,Porosity,010David010,"[""010David010""]",12,0,14
bhr,5774,GG: Intro,WheelieMaker,"[""WM""]",23,3,14
bhr,5983,UNSPLORED,Alex,"[""Alex""]",13,3,0
bhr,6043,SKYWORLD,Alex,"[""Alex""]",15,3,6
bhr,6106,The Desert Sun,max007x,"[""max007x""]",12,0,3
bhr,6227,Snags,Maple,"[""Maple""]",20,0,18
bhr,6468,Power Plant,max007x,"[""max007x""]",13,0,3
bhr,6525,Silent Night,max007x,"[""max007x""]",18,0,10
bhr,6612,Witchmist,Maple,"[""Maple""]",16,0,11
bhr,6872,freezing cold,max007x,"[""max007x""]",12,0,5
bhr,6912,far from my box,nasrani,"[""nasrani""]",20,3,18
bhr,7007,Wrath,Maple,"[""Maple""]",39,0,38
bhr,7112,Yellow Mountain Extended Version,Maple,"[""Maple""]",12,0,8
bhr,7128,versace tampon,pssst,"[""pssst""]",22,0,23
bhr,7187,Horizon,east,"[""east""]",5,0,7
bhr,7192,Splinter,east,"[""east""]",14,0,15
bhr,7215,day at the skatepark,Alex,"[""Alex""]",7,3,2
bhr,7239,Distant Planet ,max007x,"[""max007x""]",24,0,18
bhr,7327,The Ultrapark,Alex,"[""Alex""]",13,0,3
bhr,7339,Ghost Stories ,max007x,"[""max007x""]",16,1,8
bhr,7453,Psychosis,Crane,"[""Crane""]",22,0,19
bhr,7467,Vulcan Genesis,Maple,"[""Maple""]",26,0,23
bhr,7473,Stacked Containers,max007x,"[""max007x""]",11,2,9
bhr,7483,SEVENTH SEA,Alex,"[""Alex""]",18,1,13
bhr,7637,Ithaka,Alex,"[""Alex""]",15,1,15
bhr,7641,Shattered Dream ,max007x,"[""max007x""]",10,0,10
bhr,7658,Bombongo Island,stig,"[""stig""]",21,1,14
bhr,7966,Forest Medley,Joelbmx,"[""Joelbmx""]",20,1,24
bhr,7993,Super Mario Bros. world 1,stig,"[""stig""]",26,4,24
bhr,8042,Aurora,Ness,"[""Ness""]",24,2,17
bhr,8077,Eli Quest: 420,monkeys,"[""monkeys""]",16,1,10
bhr,8168,Vermilion Cliffs,CityShep,"[""Cypress""]",16,1,12
bhr,8175,Dysphoria,CityShep,"[""Cypress""]",16,2,3
bhr,8292,Lucid Dream,max007x,"[""max007x""]",13,3,8
bhr,8297,Black Magic,Maple,"[""Maple""]",19,2,16
bhr,8439,Jotunheim,stig,"[""stig""]",20,1,15
bhr,8486,talk back home,nasrani,"[""nasrani""]",23,1,17
bhr,8551,COâ‚‚ (ft. Pssst),Mickey_Mouse_Inc,"[""Mickey_Mouse_Inc""]",15,2,18
bhr,8572,Kykotsmovi Mesa,CityShep,"[""Cypress""]",21,0,16
bhr,8615,snope,nasrani,"[""nasrani""]",14,1,9
bhr,8672,Wild One Express,Ness,"[""Ness""]",15,1,17
bhr,8799,Balls,Mickey_Mouse_Inc,"[""Mickey_Mouse_Inc""]",10,0,11
bhr,8808,twenty-eight,ShittyShep,"[""ShittyShep""]",1,0,0
bhr,8809,trial,tydro,"[""tydro""]",1,0,0
bhr,8845,NÄ Pali (Wheelie Challenge),CityShep,"[""Cypress""]",13,0,5
bhr,8861,Super Mario Bros. 2,stig,"[""stig""]",36,10,22
bhr,8875,"Hopes and Dreams ft. Ness, EasternBiker, max007x",WheelieMaker,"[""WM""]",14,2,10
bhr,8949,Calamity,Maple,"[""Maple""]",26,1,21
bhr,8988,BHR GHOSTING COLLAB 2K15,Alex,"[""Alex""]",20,3,19
