type,id,name,username,plays
cr,1,Track #1,kazniti,
cr,5,The Mansion,moose_man,
cr,87,Help save Xmas,moose_man,
cr,102,Aqua Marine,moose_man,
cr,1175,Volcano,moose_man,
cr,1637,Ancient World!!!,joekeene,
cr,2056,The Lab,moose_man,
cr,21888,china adventure,lolz666,
cr,29472,3D Bedroom,moose_man,
cr,29473,3D Bathroom,moose_man,
cr,29479,3D Kitchen,moose_man,
cr,29480,Windy Downhill,moose_man,
cr,30030,Stalwark Drive,Freeride Rayward,
cr,30518,Epic NthShore,moose_man,
cr,37338,Olympia ride,lolz666,
cr,38454,wyrzuc smieci 2,Wronabezogona,
cr,40169,hapy end <3,Wronabezogona,
cr,47922,sk8 park 31 w?am,Wronabezogona,
cr,48247,Egyptian empire,lolz666,
cr,49178,northshore,lolz666,
cr,52215,Dino World,moose_man,
cr,58051,Sunday Arvo Pedal,moose_man,
cr,58766,Antarctic slopes,lolz666,
cr,59409,3D Skatepark,moose_man,
cr,61587,3D Skatepark II,moose_man,1.8m
cr,71525,Catch ya plane,moose_man,
cr,71535,City Run,mooseandlolz666,
cr,74627,Global Warming!,greenpeace,
cr,80892,caribbean coast,richandlolz666,
cr,82806,up the mountain,lolz666,
cr,87092,Mountain Ride,Gräggen,
cr,169715,...year 3012...,it-must-be-you,
cr,191756,FutureRootsLv1,hawnks,
cr,208849,FutureRootsLv2,hawnks,
cr,250192,FutureRootsLv3.2,hawnks,
cr,250252,BMX Odyssey,dufftron,
cr,260130,Stone Mountain v2,odin333,
cr,260223,Star Wars,Stig,
cr,264088,BMX Odyssey 2,dufftron,
cr,267389,Crysis,Gräggen,
cr,274254,Steep Trail,Gräggen,
cr,289066,Rocky Steppes,Gräggen,
cr,289568,FutureRootsLv4,hawnks,
cr,291848,Tools of Destruction,Stig,
cr,294536,Demon Universe,lolz666andltl,
cr,295252,Break the surface,Gräggen,
cr,304840,BMX Odyssey 3,Dufftron,
cr,304926,Day At The Cottage,odin333,
cr,309213,American Outback,lolz666,
cr,309255,FutureRootsLv5,hawnks,
cr,310927,Path of Illumination,artyst,
cr,311302,This Is Freeride,phil38654,
cr,314741,Blorks Mountain,esklate,
cr,317542,west-49 skatepark,jon312,
cr,318050,Unfinished MWMVTT,skormz,
cr,353527,Contest Entry,kazniti,
cr,356286,Contest Entry,Gräggen,
cr,360607,Whistler mt.,jon312,2.1m
cr,384904,BMX Odyssey 4,Dufftron,
cr,388856,Algarvian Coast,strobacaxi,
cr,399974,Eternal Factory,wolfram,
cr,402326,Rebel,wolfram,
cr,402327,Black Arrows,wolfram,
cr,402329,Two V per Wolfram,wolfram,
cr,409068,Layers,Gräggen,
cr,420251,Heretics,Dufftron,
cr,423055,Fox Revolution,-Firefox-,
cr,433451,Woodworks,Phil38654,
cr,442099,Plain,Gräggen,
cr,443861,Groundopus,ldprider,
cr,444346,killer teddies =O,vampyre,
cr,460934,The Secret Valley,lolz666,
cr,474544,Moo's Island,Ravee,
cr,478024,Theoratos Megathirio,Vapaa,
cr,483824,45 degrees,ldprider,
cr,486023,MTB Factory,ToxicMahem,
cr,504890,Moonlight Ride,phil38654,
cr,505501,TTT,ToxicMahem,
cr,511485,Fantasy Factory,Jon312,
cr,511979,MTB Factory 2,ToxicMahem,
cr,513853,Skatepark,jon312,
cr,513958,Overland Expedition,phil38654,
cr,516809,Super Mario Universe,Stigandhelmertz,
cr,517988,Overall Control,ToxicMahem,
cr,520145,WJP Saints Empire,Stig,
cr,523677,Nordsplore,ldprider,
cr,526987,Skate Factory,ToxicMahem,
cr,528450,Wolfram's Pilot,ldprider,
cr,531280,To the Lighthouse ,C_Four,
cr,532634,Suburban Flood,ldprider,
cr,535986,Canyon Slopestyle,c_four,
cr,544144,WOTP #1,ldprider,
cr,544987,WOTP #2,ldprider,
cr,545463,WOTP #3,ldprider,
cr,547546,Everglades,ldprider,
cr,548233,SkateNC.1,ToxicMahem,
cr,548311,Opportunity,Ravee,
