type,id,name,username,authors,upvotes,downvotes,favorites,published,size,plays,description
frhd,1002,Whistler mt.,Jon312,"[""Jon312""]",306,44,0,2013-11-19,235503,141.4k,Whistler mt. is a Free Rider community classic track by Jon312.
frhd,1082,Monkie Park,thefunkymonkie,"[""thefunkymonkie""]",422,67,0,2013-11-19,1000404,70.7k,Monkie Park is a Free Rider community classic track by thefunkymonkie.
frhd,50067,Country Cycling,max007x,"[""max007x""]",197,68,0,2014-05-09,127617,29.3k,A nice trip through the hills. Can you beat it?
frhd,50074,Treasure Hunt prt. 1,max007x,"[""max007x""]",98,33,0,2014-05-09,35501,16.9k,"Part 1 of my treasure hunt series. These are hard tracks, can you finish them?"
frhd,50075,Treasure Hunt prt. 2,max007x,"[""max007x""]",78,29,0,2014-05-09,36394,14.5k,"Part 2 of my Treasure Hunt series. It's a hard track, can you beat it?"
frhd,50076,Treasure Hunt prt. 3,max007x,"[""max007x""]",75,35,0,2014-05-09,33767,14.3k,Part 3 of the Treasure Hunt series. This one is the hardest. Don't be sad if you can't beat it. Be proud if you can !
frhd,50088,Intrepid Journey,niclauzon,"[""niclauzon""]",225,72,0,2014-05-09,604821,28.0k,My best track.
frhd,50145,Parallel,Foundations,"[""Foundations""]",189,50,0,2014-05-10,661944,24.9k,The finished product.
frhd,50165,Caesium,cky199,"[""cky199""]",93,40,0,2014-05-10,136785,14.5k,My longst track and greatest creation. Do you have what it takes to finish?
frhd,50179,A Lil' Bit O' Country,nasrani,"[""nasrani""]",154,28,0,2014-05-10,425930,18.7k,"Sorry about the crappy trees, improvement is being made :)"
frhd,50185,Lu(s)t,deadrising2,"[""deadrising2""]",403,123,0,2014-05-11,4599893,42.4k,"The first track in the series. Mods, please allow the symbols and don't warn them as PG-13, they're not. This track is the biggest track from release date."
frhd,50285,Oblivions ft. Foundations,Hashplant,"[""Hashplant""]",345,146,0,2014-05-12,777487,32.6k,Collab Contest
frhd,50981,Graveyard Ghost,armator,"[""armator""]",323,75,0,2014-05-23,1292667,32.4k,"Let's see if this works now, haha"
frhd,51574,Legion,Stig,"[""Stig""]",295,110,0,2014-06-04,327173,30.7k,ver 1
frhd,51801,Dune Jumper,max007x,"[""max007x""]",9.3k,1.8k,0,2014-06-10,9100,36.8m,It's time for a dangerous jump !
frhd,51802,Clean Up,max007x,"[""max007x""]",9.0k,1.9k,0,2014-06-10,12026,30.0m,Never bring a bike to a war zone...
frhd,52185,Snow Capped,nasrani,"[""nasrani""]",152,54,0,2014-06-20,864586,16.7k,"My entry for leboulanger's ""Doge Winter"" Contest"
frhd,52920,The Desert Sun,max007x,"[""max007x""]",2.5k,1.2k,0,2014-07-20,43630,1.6m,Race for the best time in this heated western setting until your skin turns red.
frhd,53080,Yellow Mountain,Maple,"[""Maple""]",239,75,0,2014-07-24,527853,27.0k,fullscreen this
frhd,53294,GG: Intro,WheelieMaker,"[""WheelieMaker""]",155,46,0,2014-08-01,464110,18.0k,"GG stands from Grey Group. Grey group is a group of trackmakers originated from Black Hat Rider. GG is being brought to FRHD, which means we might start recruiting members from here also. If you would like to try out for a spot on the group, message me or comment a link of your best track."
frhd,53393,Snags,Maple,"[""Maple""]",316,64,0,2014-08-05,742810,30.9k,Didn't feel like continuing on with this track so I decided I was done.
frhd,54135,Blu,Maple,"[""Maple""]",151,70,0,2014-08-26,65483,21.6k,A track with a bit more challenge :)
frhd,54505,Yellow version,deadrising2,"[""deadrising2""]",116,75,0,2014-09-03,892697,15.9k,Fifth track of the colour version series: theme is Megaman X
frhd,55066,Power Plant,max007x,"[""max007x""]",173,110,0,2014-09-13,26377,25.3k,A race of nuclear proportions.
frhd,56381,Silent Night,max007x,"[""max007x""]",449,80,0,2014-09-29,153599,56.1k,A moonlit coast waiting for you to ride it.
frhd,57072,GENERATION,Tremulant,"[""Tremulant""]",279,84,0,2014-10-03,1008623,24.8k,"From the legendary Black Hat Rider track album ""About That Time"", created by long standing member of the community Ness. Detail/Track Concept by fr2db/canvasrider/blackhatrider oldie Tremulant/Cdawg."
frhd,60988,The Daily Grind,ShelbyLowry,"[""ShelbyLowry""]",660,70,0,2014-10-17,135564,78.3k,[Intermediate - Advanced]  A street course for your enjoyment :D
frhd,61490,N Resort,Ness,"[""Ness""]",68,37,0,2014-10-19,70473,11.3k,"the skatepark I've always wanted to create. don't focus so much on completing it, the point of a skatepark is to have fun!"
frhd,null,null,null,[null],0,0,0,2014-10-19,19989,0,
frhd,null,null,null,[null],0,0,0,2014-10-19,20550,0,
frhd,63201,Witchmist,Maple,"[""Maple""]",344,69,0,2014-10-25,431803,40.1k,Old hag territory
frhd,63259,Fall From Grace,Foundations,"[""Foundations""]",141,30,0,2014-10-26,1015556,18.4k,First track from my planned album: Endure.  Number 1 Contest on BHR - 1st place.
frhd,64729,A Colorful Ocean Adventure,ShelbyLowry,"[""ShelbyLowry""]",851,147,0,2014-10-31,130883,226.9k,A ride through the deep sea to observe aquatic life.
frhd,66854,Plasticorp 2 ft Plastic,Ness,"[""Ness""]",88,41,0,2014-11-09,92130,13.4k,"aka ""Fanplastic Nesscapades"", this is a collaboration between me and Plastic. It is a sequel to his original track Plasticorp."
frhd,66855,Plasticorp 3 ft Plastic,Ness,"[""Ness""]",116,55,0,2014-11-09,149512,16.4k,"aka ""Plasticarp"", this is a collaboration between me and Plastic. the third track in the Plasticorp series."
frhd,66857,Plasticorp 4 ft Plastic,Ness,"[""Ness""]",142,39,0,2014-11-09,174702,17.1k,"aka ""A Cosmic Drama"". this is a collaboration between me and Plastic. the fourth track in the Plasticorp series."
frhd,70993,Freezing Cold,max007x,"[""max007x""]",1.4k,168,0,2014-11-24,89969,405.6k,It's so cold that Santa has to leave his mansion soon to visit some warmer places. He might even bring some presents with him.
frhd,72076,Woodmere,Cataclysm,"[""Cataclysm""]",192,28,0,2014-11-28,1168590,16.2k,"Ride through the ancient forest of Woodmere, with complimentary ruins!"
frhd,72229,Bhaktan Mountains,Cataclysm,"[""Cataclysm""]",331,145,0,2014-11-28,309979,39.8k,I promise I'll start uploading my better tracks soon
frhd,72241,Crystal Caves,Cataclysm,"[""Cataclysm""]",179,80,0,2014-11-28,203041,25.0k,Ride through a cave spawning crystals of the walls. A pretty tough ride but a good challenge nonetheless.
frhd,72249,Challenger Deep,Cataclysm,"[""Cataclysm""]",276,42,0,2014-11-28,3060365,19.5k,"Sequel to Mariana Trench, Challenger Deep is the deepest part of the deepest trench of the deepest ocean. My biggest track to date."
frhd,72539,California Redwoods,Cataclysm,"[""Cataclysm""]",167,25,0,2014-11-29,2081728,16.6k,Ride through the majestic forest of Earth's tallest trees.
frhd,72546,African Expedition,Cataclysm,"[""Cataclysm""]",221,58,0,2014-11-29,2035005,19.8k,Ride from Egypt to Kenya
frhd,72595,far from my box,nasrani,"[""nasrani""]",165,23,0,2014-11-29,485771,15.1k,BOx CE
frhd,73140,Ghosting Collab 2012,pssst,"[""pssst""]",48,38,0,2014-12-02,84365,5.0k,CR days
frhd,73453,Snowy Slopes 10,iTzChuckNorris,"[""iTzChuckNorris""]",2.4k,249,0,2014-12-03,82714,268.4k,"This is the fixed version of the final track in my Snowy Slopes series. The other tracks are labeled with roman numerals, but it's a lot easier to just put the number. I hope there aren't any glitches."
frhd,74734,Wrath,Maple,"[""Maple""]",836,182,0,2014-12-07,723535,63.2k,Box CE for the Box Contest hosted at BHR
frhd,81378,wooden bucket,pssst,"[""pssst""]",214,135,0,2014-12-23,165574,24.2k,feat. ness and foundations special thanks to elitekitten im sorry joelbmx i got love for eli and arm shouout to my niqqa char shoutout to my young hustler eric i c u trappin over there max why doesn't east go on frhd??? :( i still got love for xwinx/chalk maple is asian if u didnt know
frhd,null,null,null,[null],0,0,0,2014-12-28,9011,0,
frhd,83750,Day at the Skatepark,alexander,"[""alexander""]",62,24,0,2015-01-01,4927,12.0k,Remix Contest 3 Practice Round
frhd,84193,Snowrider,ookami_san,"[""ookami_san""]",354,62,0,2015-01-03,529639,46.0k,"Started this a while ago for the winter campaign, lost all interest and decided to finish it today ^^' Hope you like it"
frhd,84565,Distant Planet,max007x,"[""max007x""]",335,74,0,2015-01-04,184824,39.2k,Ride on an unknown planet far far away.
frhd,null,null,null,[null],0,0,0,2015-01-08,101380,0,
frhd,null,null,null,[null],0,0,0,2015-01-08,189953,0,
frhd,88611,Ghost Stories,max007x,"[""max007x""]",100,36,0,2015-01-17,79466,16.2k,They can't be true... Can they? Remix of a track made by Mickey Mouse Inc. for the Remix Contest hosted by Pssst
frhd,88929,The Ultrapark,alexander,"[""alexander""]",48,26,0,2015-01-18,37162,11.4k,Welcome to the Ultrapark!
frhd,89910,Pyra Mid,Ness,"[""Ness""]",69,29,0,2015-01-22,30108,10.9k,a pyramid puzzle of punishing proportions
frhd,92960,Jon's Pond,brainchef,"[""brainchef""]",445,126,0,2015-01-29,800011,42.4k,ZOOM OUT AND VIEW ENTIRE TRACK! 800k character track that took about a month and a half (too many hours). Subscribe and rate +1 for more! Thanks guys and gals!
frhd,93846,Psychosis,crane,"[""crane""]",373,58,0,2015-01-30,469603,32.8k,Remix Contest Round 2 which took forever
frhd,94801,Vulcan Genesis,Maple,"[""Maple""]",526,140,0,2015-02-02,512173,44.9k,Prepare to embark. My CE for the Remix Contest 3 Round 2 :)
frhd,95105,Stacked Containers,max007x,"[""max007x""]",222,51,0,2015-02-02,80830,24.9k,"If you listen carefully, you can hear the seagulls"
frhd,95778,SEVENTH SEA,alexander,"[""alexander""]",240,86,0,2015-02-04,288630,30.3k,RC3R2
frhd,102719,Pathway I,Maple,"[""Maple""]",82,32,0,2015-02-17,32450,16.1k,"Less detail, more ride :)"
frhd,105754,Shattered Dream,max007x,"[""max007x""]",210,56,0,2015-02-22,352337,22.3k,"In a clouded dream, only two surfaces remain. One is life and one is death. The rest is all shattered. Remix Contest entry round 3, original track by Iamrider"
frhd,105961,Ithaka,alexander,"[""alexander""]",227,119,0,2015-02-23,229234,26.5k,Home of Odysseus RR3
frhd,108930,Bombongo Island NC,Stig,"[""Stig""]",247,48,0,2015-02-28,364642,21.6k,An entry for the Nature contest.
frhd,109231,Beaten Path [N C],ShelbyLowry,"[""ShelbyLowry""]",748,391,0,2015-03-01,285321,167.4k,[Nature Comp Submission]    Level:  Easy ~ Moderate  sometimes it's nice to ride off the beaten path
frhd,119830,Vchunzhuel,Maple,"[""Maple""]",155,37,0,2015-03-21,211604,20.1k,"Challenge track, ride through the lair..."
frhd,123735,Organic,EasternBiker,"[""EasternBiker""]",445,94,0,2015-03-30,374192,35.2k,An older collaboration between Gismo and I.
frhd,127165,BLACK MAGIC,Staple,"[""Staple""]",440,106,0,2015-04-07,1227138,40.6k,A never-to-be-finished-:( track by Stig & Maple
frhd,127222,Forest Medley,pinn,"[""pinn""]",235,42,0,2015-04-08,387655,26.5k,A peaceful ride through a quiet thicket.
frhd,128626,Super Mario Bros. 1 (GC),Stig,"[""Stig""]",310,81,0,2015-04-11,621098,39.2k,-PLAY IN FULLSCREEN- Welcome to the world 1 of the Super Mario Bros. FRHD! This is also an entry to the Games contest.
frhd,130935,Aurora,Ness,"[""Ness""]",213,94,0,2015-04-17,41870,28.2k,future days
frhd,134709,Vermilion Cliffs,CityShep,"[""CityShep""]",217,59,0,2015-04-26,330504,26.1k,"Hey! I used to upload to FR2.me under the alias 'Thing.' It's been probably two years since I've played FR2, and I just found out that it got reincarnated. Anyways, here's my first track in two years. I've improved as an artist, and have completely forgotten how to play, so it's kinda difficult."
frhd,136033,TERMINAL,ShelbyLowry,"[""ShelbyLowry""]",1.1k,108,0,2015-04-29,631704,120.8k,"""I am a leaf on the wind.  Watch how I soar.""  [Wash]"
frhd,138005,Dysphoria,CityShep,"[""CityShep""]",125,56,0,2015-05-02,51669,13.1k,"Finished it. Pretty proud of it, and the dog turned out well too .Also my submission for an animal contest on the FRHD forums. Don't copy my artwork."
frhd,141352,Pathway II,Maple,"[""Maple""]",172,26,0,2015-05-10,40188,21.9k,continuation just for fun
frhd,145471,Lucid Dream,max007x,"[""max007x""]",255,58,0,2015-05-19,141187,35.8k,The nightmare swirls and churns unending!
frhd,149839,T O R N G A T,CityShep,"[""CityShep""]",88,25,0,2015-05-30,119756,11.6k,Don't downvote this simply because you can't complete it; appreciate it for what it is. Made this in ~3hrs so I could buy myself some time to finish a *huge* track I've been working on for a while now. Enjoy!
